"level","levelTitle","anchor","anchorName","slotId","variantId","isClock","hour","minute","prompt","answer","choices","answerMode","presentation","family","category","broadClassification","operation","tableOrDivisor","hintMinnie","hintMoose","explanation","qualityFlags"
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-2","gate-mechanism-2b","false","","","25 : 5 = ?","5","","open","bare","bare_division","Bare division, open answer","division","multiplication","5","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","25 : 5 = 5, want 5 × 5 = 25.",""
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-3","gate-mechanism-3a","false","","","Leonardo telt bij de kettingen 46 markeringen en voegt er 29 toe. Hoeveel markeringen zijn er samen?","75","","open","story","measurement","Route, money, or other applied questions","applied","applied","","Kijk welke twee aantallen je samenneemt.","Tel eerst de tientallen en daarna de lossen.","46 + 29 = 75.",""
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-3","gate-mechanism-3b","false","","","Bij de kettingen maakt Sven van 42 meetkaartjes 6 gelijke stapels. Hoeveel kaartjes liggen op elke stapel?","7","6; 7; 8; 9","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","6","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","42 : 6 = 7, want 6 × 7 = 42.",""
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-4","gate-mechanism-4a","false","","","Bij de kettingen verdeelt Sven 63 onderdelen over 7 gelijke bakken. Hoeveel onderdelen komen in elke bak?","9","","open","story","story_division","Story division, open answer","division","multiplication","7","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","63 : 7 = 9, want 7 × 9 = 63.",""
"LVL-0022","Proceno","gateMechanism","Poortmechanisme","gate-mechanism-slot-4","gate-mechanism-4b","false","","","10 × 12 = ?","120","110; 120; 130; 140","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","10","Denk aan de tafel van 10.","Splits de keersom in twee makkelijke stukken.","10 × 12 = 120.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-1","water-level-post-1a","false","","","3 × 8 = ?","24","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","3","Denk aan de tafel van 3.","Splits de keersom in twee makkelijke stukken.","3 × 8 = 24.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-1","water-level-post-1b","false","","","24 : 8 = ?","3","2; 3; 4; 5","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","8","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","24 : 8 = 3, want 8 × 3 = 24.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-2","water-level-post-2a","false","","","Bij de meetstrepen liggen 3 rijen met 6 delen. Hoeveel delen zijn dat samen?","18","15; 18; 21; 24","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","3","Zoek 3 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","3 × 6 = 18.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-2","water-level-post-2b","false","","","Leonardo tekent 4 vakken met 8 lijnen per vak. Hoeveel lijnen tekent hij?","32","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","4","Zoek 4 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","4 × 8 = 32.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-3","water-level-post-3a","false","","","36 : 9 = ?","4","","open","bare","bare_division","Bare division, open answer","division","multiplication","9","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","36 : 9 = 4, want 9 × 4 = 36.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-3","water-level-post-3b","false","","","Bij de meetstrepen staan 85 waterstrepen en Sven wist 16 proefstrepen weg. Hoeveel strepen blijven staan?","69","","open","story","measurement","Route, money, or other applied questions","applied","applied","","Kijk wat er van het eerste aantal afgaat.","Trek eerst de tientallen af en daarna de lossen.","85 - 16 = 69.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-4","water-level-post-4a","false","","","Bij de meetstrepen verdeelt Sven 12 onderdelen over 6 gelijke bakken. Hoeveel onderdelen komen in elke bak?","2","1; 2; 3; 4","multipleChoice","story","story_division","Story division, multiple choice","division","multiplication","6","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","12 : 6 = 2, want 6 × 2 = 12.",""
"LVL-0023","Umbrie","waterLevelPost","Waterstandspaal","water-level-post-slot-4","water-level-post-4b","false","","","Leonardo verdeelt 28 stukjes bij de meetstrepen in 7 gelijke groepen. Hoeveel stukjes krijgt elke groep?","4","","open","story","story_division","Story division, open answer","division","multiplication","7","Verdeel het totaal in even grote groepen.","Gebruik de omgekeerde keersom met de deler.","28 : 7 = 4, want 7 × 4 = 28.",""
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-1","valve-wheel-1a","false","","","4 × 5 = ?","20","16; 20; 24; 28","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","4","Denk aan de tafel van 4.","Splits de keersom in twee makkelijke stukken.","4 × 5 = 20.",""
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-1","valve-wheel-1b","false","","","5 × 6 = ?","30","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","5","Denk aan de tafel van 5.","Splits de keersom in twee makkelijke stukken.","5 × 6 = 30.",""
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-2","valve-wheel-2a","false","","","72 : 8 = ?","9","8; 9; 10; 11","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","8","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","72 : 8 = 9, want 8 × 9 = 72.",""
